config,epochs,lr,aug,acc_mean,acc_std,acc_min,acc_max,train_loss_mean,sec_mean,accs
1_scratch_alexnet,30,0.0001,none,0.6799999999999999,0.1036822067666386,0.55,0.8,0.006973930805688725,17.118096351623535,0.8000;0.7000;0.7500;0.5500;0.6000
2_alexnet_frozen,5,0.0001,none,0.9099999999999999,0.0547722557505166,0.85,0.95,0.001531404106935952,2.623212385177612,0.9500;0.9500;0.8500;0.9500;0.8500
3_resnet18_noaug,5,0.001,none,0.9,0.07905694150420946,0.8,1.0,0.2668170154094696,2.1757108211517333,0.9000;1.0000;0.9500;0.8000;0.8500
4_resnet18_aug,5,0.001,basic,0.8800000000000001,0.0758287544405155,0.8,1.0,0.31659097254276275,3.1347757816314696,0.9000;1.0000;0.8500;0.8000;0.8500
5_resnet18_aug_erase,5,0.001,erase,0.89,0.0821583836257749,0.8,1.0,0.3781196200847626,3.338856410980225,0.9500;1.0000;0.8500;0.8000;0.8500
6_mobilenet_aug,5,0.001,basic,0.89,0.054772255750516585,0.8,0.95,0.28677814960479736,3.056748294830322,0.9000;0.9500;0.9000;0.9000;0.8000
7_shufflenet_aug,5,0.001,basic,0.74,0.08215838362577495,0.6,0.8,0.6590563035011291,4.6054762840271,0.7500;0.6000;0.8000;0.7500;0.8000
8_alexnet_finetune,5,1e-05,none,0.86,0.06519202405202645,0.8,0.95,0.26388681888580323,3.119263744354248,0.9500;0.8000;0.8000;0.9000;0.8500
9_resnet18_noaug_15,15,0.001,none,0.9099999999999999,0.0651920240520265,0.85,1.0,0.1410453921556473,6.258284950256348,0.9000;1.0000;0.9500;0.8500;0.8500
10_resnet18_aug_15,15,0.001,basic,0.9,0.07071067811865475,0.85,1.0,0.14289383560419083,9.21850323677063,0.9500;1.0000;0.8500;0.8500;0.8500
